Line_No,Date_first_seen,Duration,Proto,Flags,Tos,Packets,Bytes,Flows,src_ips,src_ports,dst_ips,dst_ports
4739,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,  172.28.21.208,16403 , 17.173.254.222,16385 
4740,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,  172.28.21.208,16403 , 17.173.254.223,16386 
4741,2017-10-23 16:19:41.794,0.0, TCP,......,0,0,0,1.0, 157.190.129.88,53345 ,  52.85.199.241,443   
4742,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 122.96.140.194,40802 ,157.190.180.140,1433  
4743,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 183.12.192.221,15472 ,157.190.200.232,1433  
4744,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,173.241.240.143,443   , 157.190.133.53,54627 
4745,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   59.96.23.208,61335 , 157.190.21.148,23    
4746,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,    77.72.82.16,54068 ,  157.190.51.41,33390 
4747,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 123.132.12.122,40473 ,157.190.196.228,2323  
4748,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 177.128.65.151,37623 , 157.190.17.238,23    
4749,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 103.206.113.44,26744 ,157.190.166.160,23    
4750,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  198.47.127.15,443   , 157.190.147.73,54208 
4751,2017-10-23 16:19:27.673,0.0, TCP,......,0,0,0,1.0, 157.190.140.81,56354 ,  52.94.217.170,443   
4752,2017-10-23 16:18:26.539,0.0, TCP,......,0,0,1048,1.0, 157.190.140.81,56354 ,  52.94.217.170,443   
4753,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,  172.28.21.208,16403 , 17.173.254.223,16386 
4754,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 67.164.207.205,43693 ,157.190.243.214,22    
4755,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  39.112.225.14,49207 , 157.190.20.103,1433  
4756,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   43.228.93.16,60620 ,157.190.195.150,23    
4757,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,  92.42.107.139,7144  ,  157.190.51.23,5060  
4758,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,115.234.239.151,6578  ,  157.190.68.14,81    
4759,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  103.227.49.40,3547  ,157.190.187.231,23    
4760,2017-10-23 16:19:41.834,0.0, UDP,......,0,0,0,1.0,   172.28.1.106,52640 ,    193.1.186.2,53    
4761,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 108.61.191.181,48319 ,157.190.183.132,8822  
4762,2017-10-23 16:19:41.724,0.0, TCP,......,0,0,456,1.0,157.190.153.140,52411 , 209.85.202.108,993   
4763,2017-10-23 16:19:41.724,0.0, TCP,......,0,0,456,1.0,157.190.153.140,52411 , 209.85.202.108,993   
4764,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,209.163.172.180,60402 ,  157.190.64.94,23    
4765,2017-10-23 16:19:41.744,0.0, TCP,......,0,0,0,1.0, 157.190.140.80,58999 ,  40.101.18.232,443   
4766,2017-10-23 16:19:41.744,0.0, TCP,......,0,0,0,1.0, 157.190.140.80,58999 ,  40.101.18.232,443   
4767,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 60.172.101.226,29705 ,   157.190.5.55,23    
4768,2017-10-23 16:19:41.784,0.0, TCP,......,0,0,0,1.0, 157.190.147.73,54216 ,  198.47.127.15,443   
4769,2017-10-23 16:19:41.784,0.0, TCP,......,0,0,0,1.0, 157.190.129.88,53344 ,  54.230.29.199,443   
4770,2017-10-23 16:19:41.794,0.0, UDP,......,0,0,0,1.0,  157.190.23.19,48537 , 172.28.244.245,161   
4771,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,191.254.137.234,18251 , 157.190.136.39,23    
4772,2017-10-23 16:19:41.804,0.0, TCP,......,0,0,0,1.0, 157.190.147.73,54217 ,   178.250.0.76,443   
4773,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 202.205.160.72,47192 , 157.190.220.58,1433  
4774,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  52.23.101.243,51001 ,   157.190.64.7,3306  
4775,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   45.77.153.18,48329 , 157.190.156.34,9922  
4776,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,125.125.218.125,48496 , 157.190.90.149,23    
4777,2017-10-23 16:19:41.834,0.0, UDP,......,0,0,0,1.0,   157.190.3.45,38461 ,  64.235.144.33,53    
4778,2017-10-23 16:19:41.834,0.0, TCP,......,0,0,0,1.0, 157.190.129.88,53348 , 23.200.102.197,443   
4779,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 116.72.133.106,36646 ,157.190.240.114,23    
4780,2017-10-23 16:19:41.844,0.0, TCP,......,0,0,0,1.0, 157.190.147.70,61141 ,   17.171.49.28,443   
4781,2017-10-23 16:19:41.844,0.0, UDP,......,0,0,0,1.0,   172.28.8.184,52079 ,    193.1.186.2,53    
4782,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   106.75.64.59,58914 , 157.190.18.191,8088  
4784,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,  172.28.20.153,16403 , 17.173.254.222,16385 
4785,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,  172.28.20.153,16403 , 17.173.254.223,16386 
4786,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 131.255.123.61,61818 , 157.190.13.125,23    
4787,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,173.241.240.143,443   , 157.190.150.80,50550 
