,Proto,Flows,Bytes,src_ips,dst_ips
442,UDP,1.0,32,  172.28.12.212,    193.1.186.2
443,UDP,1.0,33,  172.28.12.212,    193.1.186.2
444,TCP,1.0,8037,157.190.153.131, 40.100.172.242
445,UDP,1.0,64,   172.28.24.46,    193.1.186.2
446,UDP,1.0,78,   172.28.24.46,    193.1.186.2
447,UDP,1.0,35,   172.28.9.203,    193.1.186.2
448,UDP,1.0,34,   172.28.25.73,    193.1.186.2
449,TCP,1.0,469, 157.190.133.53,   195.93.42.12
450,TCP,1.0,0,  172.28.246.91,   52.94.232.32
451,TCP,1.0,0, 157.190.142.57,  40.101.51.114
452,TCP,1.0,2955,   172.28.4.102, 209.85.202.153
453,TCP,1.0,30378,   172.28.4.102, 209.85.202.153
454,TCP,1.0,0,   172.28.4.102, 130.211.22.160
455,TCP,1.0,3764,   172.28.4.102, 130.211.22.160
456,TCP,1.0,394,  172.28.28.238,  209.85.202.94
457,TCP,1.0,436,  172.28.28.238,  209.85.202.94
458,TCP,1.0,122,  172.28.22.128,   17.252.60.12
459,TCP,1.0,1, 157.190.144.57, 151.101.38.110
460,TCP,1.0,592,  172.28.29.163,  209.85.202.93
461,TCP,1.0,2,   172.28.29.10, 209.85.202.100
462,TCP,1.0,2,   172.28.29.10, 209.85.202.100
463,TCP,1.0,1,   172.28.29.10, 192.229.233.25
464,TCP,1.0,1,   172.28.29.10, 104.244.42.136
465,TCP,1.0,0,   172.28.29.74,   83.97.89.146
466,TCP,1.0,2,  172.28.18.137,  104.16.27.235
467,TCP,1.0,2, 157.190.140.74,  209.85.202.94
468,TCP,1.0,2, 157.190.35.210,  209.85.202.94
469,TCP,1.0,0,   218.94.29.59,157.190.111.147
470,TCP,1.0,52,  172.28.16.101, 64.233.164.188
471,TCP,1.0,1,   172.28.16.89, 209.85.203.188
472,TCP,1.0,0, 157.190.150.69,  40.101.44.178
473,TCP,1.0,0,157.190.150.106,   52.215.53.91
474,TCP,1.0,2930,   172.28.8.195,    31.13.90.36
475,TCP,1.0,1, 157.190.35.131, 104.244.42.136
476,TCP,1.0,1, 157.190.43.199, 209.85.202.139
477,TCP,1.0,2,  157.190.42.37,  23.212.231.55
478,TCP,1.0,4328,  157.190.49.47,  40.101.12.114
479,TCP,1.0,2,  157.190.42.37,  23.212.231.55
480,TCP,1.0,2,  157.190.42.37,    87.32.97.16
481,UDP,1.0,143,   157.190.23.7,    193.1.186.2
482,UDP,1.0,57, 157.190.150.20,    193.1.186.2
